miRNA	Tumor_1	Tumor_2	Tumor_3	Tumor_4	Tumor_5	Tumor_6	Tumor_7	Tumor_8	Tumor_9	Tumor_10	Tumor_11	Tumor_12	Tumor_13	Tumor_14	Tumor_15	Tumor_16	Tumor_17	Tumor_18	Tumor_19	Tumor_20	Tumor_21	Tumor_22	Tumor_23	Tumor_24	Tumor_25	Tumor_26	Tumor_27	Tumor_28	Tumor_29	Tumor_30	Tumor_31	Tumor_32	Tumor_33	Tumor_34	Tumor_35	Tumor_36	Tumor_37	Tumor_38	Tumor_39	Tumor_40	Tumor_41	Tumor_42	Tumor_43	Tumor_44	Tumor_45	Tumor_46	Tumor_47	Tumor_48	Tumor_49	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Control_10	Control_11	Control_12	Control_13	Control_14	Control_15	Control_16	Control_17	Control_18	Control_19	Control_20	Control_21	Control_22	Control_23	Control_24	Control_25	Control_26	Control_27	Control_28	Control_29	Control_30	Control_31	Control_32	Control_33	Control_34	Control_35	Control_36	Control_37	Control_38	Control_39	Control_40	Control_41	Control_42	Control_43	Control_44	Control_45	Control_46	Control_47	Control_48	Control_49
hsa-miR-183-5p	19831.04333	3355.123509	4324.155494	15592.82667	383.641282	706.404212	10222.63435	5696.234359	937.54106	5841.059176	153.574904	1628.842274	7169.431717	9817.619571	446.486293	1918.927096	1166.353919	6183.724789	810.260567	5404.252786	10802.78838	230.203918	11825.07973	1638.359539	587.176279	35301.05384	1364.69878	24949.7416	175.031174	57.449929	1287.64138	920.721339	13870.32147	2379.087062	701.511781	474.086912	532.749529	992.461521	103.518876	45.911859	812.026593	2347.36924	1453.661103	1525.976941	1284.792021	9450.338631	7612.092413	88.147353	624.846914	205.84379	287.275792	223.199367	220.521493	657.854492	522.4565	193.208983	994.815209	357.152432	195.190559	293.304235	167.931938	268.067202	1010.097266	225.964523	308.087244	234.093565	348.311476	356.806237	285.144905	441.84067	247.035601	257.280173	397.278813	147.063286	142.794097	352.356728	179.211382	346.663499	133.857338	172.69846	204.707553	120.774216	226.695924	125.644568	384.96677	294.147014	138.6043	91.918415	170.590856	872.703533	276.992223	152.327815	1039.532381	456.135897	476.169105	93.711381	152.621501	229.909798
hsa-miR-184	0.86712	1.94758	3.7695	23.7287	0.20964	0.910315	15.236698	13.986661	1.470653	0	0.70286	0.873257	0	0.935049	30.811131	6.410121	4.763164	0.511728	1.10767	0.384207	0.187891	0.364246	0.179816	0	0	3.84423	2.625974	0	0.868641	0	4.376372	16.740387	0.367874	0.193155	1.34518	0.990156	0	3.984558	9.607071	2.314884	39.488964	8.101101	0.649391	1.47224	0.27278	0	28.521753	0	0.195631	1.956277	0	0.492442	1.093236	0	0.793705	0.338073	0.207599	2.636892	0.834148	0.377969	0	1.282619	1.178249	0.999843	0.481763	0.22189	0	4.380592	0.396035	0.252336	0.336103	0.21584	0.164097	3.493944	0	0.849051	0	0.627256	1.213733	0.172526	0	0	0.195934	0.232245	0.285902	0	0.33001	0	3.10973	9.761232	0	0.173494	0	0.134395	0	0.631053	0.201082	0.193202
hsa-miR-185-3p	3.208345	8.624997	2.3335	6.420707	17.190484	8.01077	8.808716	7.326346	3.676633	6.93459	3.86573	3.711342	5.457718	3.584352	6.327286	6.903207	5.177352	9.893414	5.953726	3.457861	12.964473	18.212335	6.473387	15.184469	11.76968	4.356794	9.897904	4.618964	15.201218	3.347899	9.176263	8.81073	6.253858	2.511012	11.434036	5.346846	9.132849	6.283341	9.17529	5.787209	10.752864	1.950266	5.844516	5.520901	4.091694	9.851841	3.635126	15.862507	8.999047	8.042471	7.840277	4.185758	7.027951	9.427852	8.333906	4.902065	4.774781	5.713267	7.785377	4.346648	2.747352	6.413091	13.465717	2.499608	3.372339	7.988027	9.82417	4.239282	8.316726	8.831765	6.049851	6.691011	6.235686	4.605653	3.618564	5.660348	7.735743	5.645305	4.854929	3.105467	2.084984	6.957451	3.72275	3.71592	3.14492	6.335474	5.280164	4.634542	5.108841	9.390553	4.184174	4.510846	6.798194	3.35987	6.161367	2.997502	5.831389	5.02324
hsa-miR-185-5p	61.565548	148.572515	29.617503	103.847959	103.352543	79.015316	84.516063	143.529788	72.715603	87.48253	79.071747	79.684685	87.897996	86.647826	72.901334	120.148669	108.931492	113.603682	109.382407	60.704674	74.592695	107.817025	80.198071	259.475778	151.843408	86.495181	114.734888	104.605951	254.511831	70.975438	150.77305	56.094984	103.372595	69.92202	172.855731	120.601057	50.013221	112.180641	97.581923	72.918833	80.831871	38.105182	111.370507	81.709329	54.010366	119.737737	51.520912	129.309556	87.447268	76.294795	89.057506	57.3695	58.722437	105.591932	97.228897	63.895884	71.414113	61.380996	89.392826	115.469644	70.400914	92.669164	77.427885	91.485638	79.490846	88.533965	116.773654	71.219937	81.18709	71.411142	85.258092	92.055363	73.187257	65.114413	63.046517	54.622367	120.387502	66.070968	86.521779	76.601514	68.804482	90.268469	87.19074	60.383711	90.916772	101.065898	87.452713	57.159352	106.175035	75.742216	79.834012	69.050648	82.465036	62.896759	116.60098	67.680442	58.31388	61.43808
hsa-miR-186-3p	0.086712	0.695564	0.1795	0	0.20964	0.364126	0.952294	0	0	0	0.35143	0.436628	0.574497	0.545444	0	0	0	0.170576	0	0	0.375782	0.728494	0.359633	0.223301	0.145305	0	0	0.543408	1.302963	0.401748	0.282346	0	0.183937	0.38631	2.01777	0.198031	0.434898	0	0.323834	0	0	0.30004	0.324695	0	0.27278	0.151567	0	0.401582	0.782524	1.08682	0	0.492443	0.93706	0	0.793704	0.338074	0.415198	0.439482	0.417074	0.188985	0.343419	0.320655	1.009928	0.249961	0.361322	0.22189	0.446554	0.565236	0.79207	0.252336	0.448137	0.863357	0.492291	0	0.417527	0	0.644644	0.836341	0.693561	0	0.189544	0.178396	0.979671	0	0.714755	0	0	0	0	0.24712	0.669468	0.346988	0.295574	0.26879	0.232504	0.315527	0	0
hsa-miR-186-5p	123.477943	203.522088	271.04503	440.516336	768.959687	271.637909	414.723888	264.74752	186.446074	581.705482	546.473629	334.893987	127.25102	202.360076	288.579248	108.643323	215.377855	288.103031	105.644022	410.717064	348.91344	612.298716	438.75178	264.611702	319.525027	126.987738	247.851598	678.172598	707.073823	170.742801	432.272547	211.163841	369.713373	650.931513	242.132542	193.674604	253.545284	230.031615	172.495481	243.062778	255.473207	131.867933	217.870581	173.356279	253.13949	295.555173	120.168856	258.41832	321.422504	273.661382	285.466499	260.132522	274.55863	334.164941	393.479391	316.605795	361.63775	302.21717	293.063884	492.494095	267.180054	306.225094	381.921459	282.705619	286.0466	365.230339	326.876921	298.586762	368.708201	429.476197	330.053006	362.177964	336.234734	240.764517	283.083036	319.243683	318.454759	322.82777	306.380728	261.204266	278.629725	327.713792	343.668667	304.937737	287.760159	319.488912	217.476747	215.763676	259.662378	359.559293	308.62457	258.679689	289.662137	315.290164	319.926117	259.362817	257.184317	291.734284
hsa-miR-187-3p	0.260136	0.139113	1.077	0.279161	0.20964	1.638567	0.952293	15.984756	3.023009	0	0	20.958163	2.297987	8.259595	3.026094	0.164362	0.207094	5.117283	0	0	0	0	0.539449	0	0.435914	1.025128	10.503898	4.618964	0.868641	0.133916	16.376099	0.881073	0.183937	0	3.362952	0.198031	0	0.153252	0.647667	1.92907	0	0.30004	0.649391	0.36806	0	0	37.74938	1.606329	0.586894	2.608369	4.221689	3.200875	4.6853	2.723602	2.18269	5.071102	3.321586	7.764183	1.529271	4.535632	8.585477	1.282619	2.3565	1.999687	2.288374	0.66567	14.51298	3.956662	3.564312	2.775697	4.257303	5.072219	2.297358	3.017498	5.010321	2.547155	3.867871	3.345364	4.854929	7.073564	5.875865	7.671036	7.053633	8.593066	23.443947	2.413514	3.630112	4.119594	4.220349	5.065955	3.347338	10.062657	0.886721	2.284712	5.812611	2.997502	4.825976	2.318419
hsa-miR-187-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139812	0	0	0	0	0	0.156177	0	0	0	0	0	0	0.188985	0	0	0	0	0	0.22189	0	0	0	0	0	0	0	0	0.139176	0	0	0	0	0.172526	0	0	0	0	0	0	0	0	0	0	0	0.346988	0	0	0	0	0	0
hsa-miR-188-3p	0	0.417339	0	1.116645	3.144601	1.638567	0	0.333016	0.326812	2.13372	4.56859	0.654942	0.861745	0.077921	0.550198	0.657448	0.828376	0.511728	0	0.768414	1.127346	1.09274	0	0.669903	2.17957	0.256282	0.605994	1.358519	1.302962	2.008739	1.976425	1.762146	1.471496	1.352083	4.035542	0.990157	0.434898	0.76626	1.079446	2.700698	1.297759	0.15002	1.623476	2.20836	1.091118	3.182902	0.279625	1.204747	1.565051	3.912553	2.412393	0.738664	2.34265	1.885571	0.992132	1.521331	2.283591	2.050916	1.529271	1.700862	0.343419	0.320655	1.851536	0.749883	1.927051	1.553228	2.679319	1.130475	0.792069	1.261681	1.792548	1.834632	2.133261	1.270525	1.530931	1.415087	0.966968	1.045427	1.213733	0.86263	1.516352	1.070377	1.567474	0.696735	1.572459	0.905067	0.99003	0.772424	1.110618	1.606279	0.334734	0.346988	1.477869	2.284712	2.441297	0.47329	1.608659	1.545613
hsa-miR-188-5p	1.040544	1.391129	3.231	2.233289	5.241001	1.092378	1.42844	2.997141	1.062139	4.26744	4.92002	3.711342	5.170471	3.116828	2.750993	1.972344	3.520599	0.341152	1.661505	0.768414	2.818364	2.73185	2.697245	4.242719	7.991759	3.203525	8.079921	5.162373	3.040245	1.205244	5.788104	6.167511	2.759055	3.283631	2.01777	5.346844	7.393259	0.919512	5.073397	4.243953	2.039336	1.500203	5.844516	4.04866	0.818339	6.06267	2.936062	4.417406	3.716998	1.08682	1.206196	0.984885	0.93706	0.838032	2.182689	0.676147	0.830396	1.025458	1.390246	0.755939	1.717095	1.603273	2.019857	1.249804	1.083967	2.440786	2.232767	1.271783	2.376209	3.028034	1.904584	1.726713	0.820485	1.429341	1.530932	1.132069	0.483483	0.836342	2.600855	2.070311	1.705896	0.891981	0.391868	0.46449	1.858362	2.111824	1.650051	1.029899	2.665483	1.482719	0.836835	2.081929	2.364589	2.150317	3.836324	1.104342	1.206493	2.125218
hsa-miR-18a-3p	0.43356	0.695564	0	0.837483	0.20964	0.728252	2.618807	0.999047	0.326812	1.333575	5.27145	3.929655	1.436241	0.779208	1.100397	1.64362	0.414188	2.21749	0.692293	0.768414	0.563673	0.182123	1.258714	0.669903	1.88896	0.512564	1.211988	2.988742	3.474565	0.267832	0.141173	4.111674	0.919685	1.352084	0	0.990156	1.304694	0.306504	0.755613	0	0.185394	0	0.974086	0	0.54556	1.212535	0.978687	4.417406	0.586893	0.869456	0.603099	0.615553	0.312354	2.095079	0.793705	0.676146	1.660793	0.292988	0.556099	1.133909	0.686838	0.961964	2.693142	0.249961	0.602204	0.887559	0.669831	0.565237	0.79207	2.271025	0.672206	0.971278	0.328194	0.794079	0.695879	0.566034	0.322322	1.463598	1.387122	1.035156	0.379088	1.42717	1.371539	0.92898	1.000657	1.810135	1.65005	0.772425	0.888494	1.853399	0.836835	0.520482	1.182294	0.134395	0.348756	1.262107	0.804328	0.772807
hsa-miR-18a-5p	2.861497	5.703628	2.3335	2.51245	13.626602	8.556958	6.666055	11.655551	3.513227	51.475999	15.81435	43.007899	7.18121	4.441481	3.301192	9.039913	6.627009	6.99362	6.507561	8.452549	4.509382	2.367603	5.933939	3.126214	35.890261	11.404549	12.927874	39.940454	31.271081	10.84719	23.575934	27.313264	4.598425	18.929167	4.035542	30.496819	9.132849	6.743098	11.658017	3.086512	2.595518	1.950265	13.637205	6.25702	17.457898	10.003408	6.291563	36.343212	8.803415	7.390379	5.025818	4.924424	7.65266	7.961297	10.913447	5.071101	7.88877	7.617688	5.421959	15.874714	9.272315	5.451127	11.614179	11.998117	6.624237	3.106456	10.494001	4.945828	8.712762	16.654188	4.369337	9.49692	3.774231	9.846571	6.958777	6.226383	4.512516	6.272559	11.270371	12.594393	7.202673	8.206223	9.404844	6.03837	15.152795	9.654056	11.880369	7.466762	3.998225	7.413594	9.707282	11.624104	7.093766	6.719741	12.438987	11.201192	10.054117	11.012488
hsa-miR-18b-3p	0	0.139113	0	0.279161	0	0	0	0	0	0.266715	0	0	0	0.311683	0	0	0	0	0	0.384207	0	0	0.179816	0	0.145305	0	0	0.271704	0	0	0.564692	0	0.183937	0	0	0	0.434898	0	0.107945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207599	0.146494	0	0.566954	0	0	0.168321	0.249961	0	0	0.893106	0	0.396035	0.504672	0	0.10792	0	0.158816	0	0	0	0	0.34678	0	0	0.178396	0.195934	0.232245	0.285902	0.603378	0	0	0	0	0.167367	0.173494	0	0	0.581261	0.157763	0.201082	0
hsa-miR-18b-5p	0	0.556452	0	0	0.83856	0.182063	0.238073	0	0	2.13372	0.70286	1.746514	0.287248	0.857129	0.275099	0.493086	0.414188	0.170576	0.276917	1.15262	0	0.54637	0.359633	0	2.906095	0.384423	0	0.543408	0.434321	0.937412	1.694079	1.174764	0.183937	0.193155	0	0.792125	1.304693	0	1.511226	0.385814	0	0.15002	0.324695	0.73612	0.81834	0.151567	0.139813	1.204747	0.586894	0.217364	0.402066	0.615554	0.46853	0.419016	0.793705	0.50711	0.830397	0.73247	0.556098	1.133908	0.343419	0	1.17825	0	1.204407	0	0	0.423928	0.396035	0.504672	0.336103	0.539598	0	0.158816	0.417527	0	0.483484	0.41817	1.213731	0	0.379088	0.535189	0.587803	0.232245	1.858362	0.905067	0	0	0	1.359159	0.334734	0.346988	0.591147	0.806369	0.58126	0.47329	0.603247	0.193202
hsa-miR-1908-5p	0	0	0.1795	0	0	0	0.238073	0	0	0.266715	0	0.218314	0	0	0	0	0	0	0	0	0	0	0	0	0.145305	0.128141	0	0	0.434321	0	0	0	0	0.193155	0	0	0	0	0.107945	0	0	0	0	0	0.545559	0	0	0	0	0	0	0	0	0.209508	0	0	0	0	0	0	0	0.641309	0	0	0	0	0	0	0	0	0.112034	0	0	0	0	0	0	0.209085	0	0	0	0	0	0	0	0	0	0	0	0.24712	0	0.693976	0	0	0	0	0.201082	0
hsa-miR-1909-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1909-5p	0	0	0	0	0	0	0.238073	0	0	0	0.35143	0	0	0.077921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301689	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-190a-5p	3.121633	3.89516	2.154	2.51245	3.354241	4.369511	2.380734	6.327299	3.513227	2.400435	1.05429	1.309884	1.723489	3.038908	3.301192	4.109051	1.242564	3.411521	15.092004	11.141997	3.569928	4.370961	1.977979	2.679612	1.307741	4.100512	3.635965	1.630223	1.302962	0.66958	15.952579	4.111674	2.759055	0.965775	2.017771	1.386219	3.479181	1.37927	3.77806	0.771628	1.483153	0.450061	1.948171	0.73612	2.727796	1.364102	2.936064	2.610285	3.521366	3.260461	5.82995	3.077763	3.904417	3.771141	4.166952	4.394954	4.774781	3.515856	1.390247	2.078832	0.343419	1.603273	6.564537	2.499608	3.372339	2.884565	5.135361	4.380591	3.960347	4.542051	2.800857	4.316782	3.446037	3.176313	3.47939	4.245261	5.157162	2.927195	3.467807	3.968097	3.980424	0.89198	3.134947	2.32245	8.00525	4.525339	2.970092	1.287374	2.665483	8.402073	3.179972	3.81687	2.069016	2.419106	5.580107	1.419869	2.614071	1.159209
hsa-miR-190b	0	0.139113	0.1795	9.770642	1.0482	1.638567	0.238073	1.332063	0.163406	2.400435	1.05429	0	8.617451	2.649305	2.200795	0.328724	0	1.023456	0.553835	0	0	0	0.899081	0.446602	1.017133	0	0	0.815111	2.605924	0.133916	0.564693	0.293691	0	0.77262	0	1.188188	0.869796	0	0.107945	1.157442	0	0	1.948172	1.10418	0	2.879769	3.635127	0.200791	0.586894	0	0	0	0.624707	0.209508	0.396853	0	0.207599	0.292988	0.139025	0.188985	0	0	0	0.249961	0.120441	0	0	0	0	0.252336	0.112034	0.431679	0	0.158816	0.139176	0	0.322323	0	0	0.690104	0	0	0.587803	0.232245	0.428853	0.905068	0	0	0	0	0	0.173494	0	0.26879	0	0	0	0.193202
hsa-miR-191-3p	0.520272	0.695565	0.359	0.837483	2.30604	2.730945	0	1.665078	0.571921	2.13372	5.27145	3.056397	1.148994	1.168812	2.750994	0.493086	0.828376	0.341152	0.969211	2.305242	0.563673	1.456986	0.359632	1.563107	2.034266	1.28141	1.615984	5.977483	2.171604	0.401748	2.54112	1.762146	2.391181	1.158929	1.34518	2.574406	0.434898	1.072765	1.511225	2.700698	0.185394	2.250305	2.272866	1.10418	4.091694	1.818802	0.139812	3.011867	0.586893	2.391004	3.819623	2.708434	3.123533	3.77114	2.579542	3.549772	1.453194	1.611434	0.27805	3.401725	4.121029	3.5272	2.019857	1.999687	3.131458	2.440786	3.795704	2.40226	5.94052	1.009345	2.688824	3.777184	3.446037	0.952895	2.087635	3.396209	2.739744	2.927194	0.866951	1.552734	4.359512	6.95745	2.35121	1.625715	2.430166	2.715202	3.300101	1.802323	0.444248	1.112039	5.188374	2.602411	1.477868	1.478343	1.278772	0.788816	5.02706	0.966009
hsa-miR-191-5p	337.830105	493.155024	344.640038	458.10349	393.704007	709.863407	629.70418	528.162973	312.268577	976.443728	1488.305994	830.903858	434.606763	341.838146	696.001431	128.695496	463.683668	470.790037	306.824577	950.143407	734.653497	817.187487	721.78264	391.669978	581.073482	478.222242	558.120593	2634.439702	1283.851488	282.696511	682.431578	498.981038	819.071471	773.198468	322.170797	568.151776	191.354932	326.733775	503.345689	376.168585	397.855954	532.572429	393.855464	242.551568	704.316983	403.470698	219.575555	746.34103	708.577189	891.844846	841.724104	703.084156	751.366075	720.497323	931.81	753.565746	784.517254	995.280402	634.230279	1584.44762	632.57797	835.946404	1047.296316	396.687721	571.731874	660.121663	744.850687	630.239928	869.691952	1265.213661	689.234926	732.234046	826.556538	597.782076	730.393195	949.806571	591.623188	696.672364	571.841337	668.538	636.678398	860.048011	661.669949	641.228557	599.536068	518.000438	440.56367	414.791501	484.007113	783.493287	700.76522	525.860594	398.433227	744.412707	552.895573	538.919333	641.050519	643.940637
hsa-miR-1910-5p	0.260136	0	0	0.558322	0.83856	0	0	0	0	0	0	0.218314	0.287248	0.077921	0	0	0	0	0	0.384207	0	0	0	0	0	0	0	0	0	0	0	0.587382	0	0	0	0	0	0	0.107945	0	0	0	0	0	0	0	0.069906	0	0	0.217364	0	0.123111	0	0	0.198426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346781	0	0	0	0	0	0	0	0	0	0.222124	0.24712	0	0	0	0	0.116252	0	0	0
hsa-miR-1911-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1911-5p	0	2.225806	0	66.161199	0	0	0.476147	0	0.163406	0	0	0.218314	0	0	0	0.657448	0	0.852881	0	0	0.187891	0	0	0.223301	0.435914	0	0	0	0.868642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151567	0	2.409494	0	0	0	0	0	0	0	23.496106	0	0	0	0	0	0	0	0	0.120441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134395	0	0	0	0
hsa-miR-1912	0	0.556451	0	0.837483	0	0	0	0	0	0	0	0.218314	0	0	0	0.164362	0	0	0	0	0	0	0	0	0	0	0	0	0.434321	0	0.141173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.113763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179816	0	0.145305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195631	0	0	0	0	0	0	0	0	0.146494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24712	0	0	0	0	0	0	0	0.193202
hsa-miR-1914-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1914-5p	0	0	0	0	0	0	0.238073	0	0	0	1.40572	0.218314	0.287248	0	0	0.164362	0	0	0	0	0	0.182123	0	0.669903	0	0.256282	0	0	0	0	0.141173	0	0.183937	0	0	0	0	0	0.107945	0	0	0	0.64939	0	0	0	0	0	0	0	0	0	0	0	0.198426	0	0	0.146494	0	0	0	0	0	0	0	0.22189	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172526	0	0	0.195934	0	0	0	0	0	0	0	0	0	0	0	0	0.315527	0	0.193202
hsa-miR-1915-3p	0	0	0	0	0	0	0.952293	0	0	0.53343	0	0	0.574497	0	0	0	0	0	0.138459	0	0.187891	0	0	0	0	0.256282	0	0.543408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.324695	0	0	0	0	0.200791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.301689	0	0	0	0	0	0	0.295574	0	0	0	0	0
hsa-miR-1915-5p	0	0.139113	0	0	0	0	1.42844	0	0	0	0.70286	0	0.574496	0	0	0	0	0	0	0	0.187891	0.182123	0	0	0.145305	0	0	0	0.434321	0	0	0.293691	0.183937	0	0	0.198031	0	0.153252	0	0	0	0	0	0	0	0	0	0.602373	0.195631	0	0.201033	0	0	0	0	0	0	0	0	0	0	0	0.168321	0	0	0.22189	0	0	0	0.252336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49424	0	0	0	0	0	0	0.201082	0
hsa-miR-192-3p	72.317839	39.925388	80.236509	149.072067	29.139966	78.287066	147.367441	239.105306	69.284082	124.022489	331.047048	51.085523	66.06712	28.285218	54.469678	50.623514	123.635171	148.912935	171.550384	270.481586	142.609211	81.591262	97.280618	115.669925	86.746904	139.289275	84.637178	136.938701	70.359927	43.522676	239.994555	128.930355	190.558734	141.77559	100.215967	72.479453	154.388639	178.845363	0.647668	78.706043	77.494773	30.004079	28.897885	88.70247	139.935947	183.698908	4.753626	105.013815	89.207947	145.199207	170.274737	95.533764	123.379589	94.488018	139.692129	100.069744	105.667976	187.805337	108.022127	96.193209	194.031787	133.071638	95.774922	148.226733	90.691828	141.343697	117.443485	80.263737	190.888673	187.485789	128.391291	154.109099	106.170753	169.13866	115.65487	139.527603	114.585696	100.57005	161.253013	210.309117	186.132237	131.299591	167.719713	186.957256	166.108945	106.496302	167.645202	173.280376	172.36784	107.249992	157.659622	154.409741	126.209933	80.502476	120.553554	214.558047	247.532366	138.332286
hsa-miR-192-5p	16934.6878	20652.83153	23217.25067	32921.75671	35743.20855	39825.35795	53112.75038	52340.75104	19019.29692	54098.34316	112373.6038	26032.44062	17455.79535	8673.977344	36105.14298	30253.13894	37021.38226	56179.92094	75002.6861	63477.87833	67302.15133	35163.83088	18348.09595	33924.55998	34491.12116	37718.94653	17540.7021	73359.47305	43346.4918	18687.16331	62105.36777	39272.65657	53770.8557	32337.38882	47668.49902	33120.73354	70022.42332	89639.22889	193.760566	41510.10659	39231.82284	15988.87449	14545.3778	29864.39196	61486.98173	48496.814	1268.169421	34384.09396	35744.80422	64362.15813	72908.94785	55641.5209	54595.62418	52894.43405	52703.22129	45440.62298	40869.21772	66543.00618	46539.879	29710.09371	49335.24366	52830.08099	58084.54855	45656.58192	52808.53799	63389.87451	47457.66118	45808.83381	60943.7821	66860.76366	61402.071	45725.29105	51747.82166	48551.84751	47729.97053	53755.76895	42109.19549	47036.04798	47296.20306	66540.83776	52798.05846	52822.04035	47552.6539	51005.42362	41826.14626	44260.82966	57384.82065	64594.18535	56368.5029	56410.89892	40742.2923	48701.87382	47986.96639	31556.02952	30279.28667	55783.04143	54416.70334	52097.94622
hsa-miR-193a-3p	7.630659	13.21572	10.2315	1.954128	14.045883	12.016155	5.237615	4.66222	10.703084	17.603191	17.92293	34.057016	13.213423	4.831084	15.405565	8.875551	8.697951	13.646089	4.707597	14.984066	19.728546	17.301717	9.889898	5.135923	15.983516	11.53269	14.947854	26.898675	6.080488	6.695797	16.376098	22.320517	14.347086	28.586905	10.761446	26.140131	19.570392	13.02644	7.772013	9.259535	7.04498	4.350591	7.467993	11.777921	13.093424	34.860352	50.472318	26.504443	30.90977	21.736408	13.469194	14.403933	14.992963	11.313422	18.652074	12.508717	15.154739	18.018763	11.678067	15.685729	18.544631	20.201237	19.35697	14.747684	9.755695	14.866606	16.745744	18.511531	16.237421	19.177549	15.236663	15.972092	12.799566	20.010771	17.675293	14.150873	9.347355	8.572499	21.153621	14.319653	15.353065	14.628486	18.417818	18.347358	21.871488	25.643585	14.520449	13.903627	15.992895	17.051266	17.071426	24.809653	25.714902	17.740111	19.646625	24.295543	17.29308	19.706557
hsa-miR-193a-5p	234.122505	566.745715	231.016527	364.584495	403.766728	640.497426	668.034002	532.825195	498.632947	434.7455	1259.8765	561.504131	1015.710187	332.098057	422.002448	609.618896	627.702189	940.215464	656.294446	1271.724494	818.077061	1087.276425	306.047348	283.145685	342.19256	824.587388	829.807962	807.503589	253.64319	227.52315	547.469934	517.189883	705.398404	425.133606	1150.129575	556.863992	791.078686	374.54848	185.017051	406.647883	480.72716	279.337989	262.353846	376.893485	755.053993	1064.75644	536.600434	630.283697	997.133607	1045.521255	942.240478	840.96793	802.279681	773.502794	636.750062	720.603582	432.844265	621.72064	623.942457	816.791819	784.712629	821.837603	857.766319	479.42473	472.24788	905.309708	914.317614	581.488185	1000.779395	747.672135	956.884838	675.36045	639.978261	725.311036	746.39838	928.297244	653.992618	893.630759	803.317442	748.417506	612.795852	776.380202	452.804044	723.211057	386.968083	939.762009	818.095385	860.479949	845.179922	995.274946	728.882858	841.793339	685.435198	607.330027	332.481358	656.926258	551.568873	668.670424
